data,crc
"{'event_time': '2023-10-17T09:56:42.839Z', 'weight': 0.0}",3506776963
"{'event_time': '2023-10-17T09:56:43.827Z', 'weight': 0.0}",3144477831
"{'event_time': '2023-10-17T09:56:44.835Z', 'weight': 0.0}",3691399582
"{'event_time': '2023-10-17T09:56:45.844Z', 'weight': 0.0}",1909687681
"{'event_time': '2023-10-17T09:56:46.825Z', 'weight': 0.0}",1425514801
"{'event_time': '2023-10-17T09:56:47.833Z', 'weight': 0.0}",926907312
"{'event_time': '2023-10-17T09:56:48.841Z', 'weight': 0.0}",3570335834
"{'event_time': '2023-10-17T09:56:49.849Z', 'weight': 0.0}",1176368907
"{'event_time': '2023-10-17T09:56:50.832Z', 'weight': 0.0}",390137441
"{'event_time': '2023-10-17T09:56:51.840Z', 'weight': 0.0}",432164055
"{'event_time': '2023-10-17T09:56:52.849Z', 'weight': 0.0}",2976180279
"{'event_time': '2023-10-17T09:56:53.825Z', 'weight': 0.0}",1325240145
"{'event_time': '2023-10-17T09:56:54.833Z', 'weight': 0.0}",3237947306
"{'event_time': '2023-10-17T09:56:55.841Z', 'weight': 0.0}",3464260892
"{'event_time': '2023-10-17T09:56:56.849Z', 'weight': 0.0}",2973256100
"{'event_time': '2023-10-17T09:56:57.829Z', 'weight': 0.0}",2926067365
"{'event_time': '2023-10-17T09:56:58.837Z', 'weight': 0.0}",695388413
"{'event_time': '2023-10-17T09:56:59.845Z', 'weight': 0.0}",670138955
"{'event_time': '2023-10-17T09:57:00.854Z', 'weight': 0.0}",25218376
"{'event_time': '2023-10-17T09:57:01.831Z', 'weight': 0.0}",542783475
"{'event_time': '2023-10-17T09:57:02.839Z', 'weight': 0.0}",1595806539
"{'event_time': '2023-10-17T09:57:03.847Z', 'weight': 0.0}",2975091098
"{'event_time': '2023-10-17T09:57:04.854Z', 'weight': 0.0}",31223003
"{'event_time': '2023-10-17T09:57:05.838Z', 'weight': 0.0}",4265937853
"{'event_time': '2023-10-17T09:57:06.846Z', 'weight': 0.0}",4254696069
"{'event_time': '2023-10-17T09:57:07.832Z', 'weight': 0.0}",1858519840
"{'event_time': '2023-10-17T09:57:08.841Z', 'weight': 0.0}",1523857554
"{'event_time': '2023-10-17T09:57:09.849Z', 'weight': 0.0}",3355889603
"{'event_time': '2023-10-17T09:57:10.858Z', 'weight': 0.0}",1617737736
"{'event_time': '2023-10-17T09:57:11.839Z', 'weight': 0.0}",2833141585
"{'event_time': '2023-10-17T09:57:12.847Z', 'weight': 0.0}",2869085801
"{'event_time': '2023-10-17T09:57:13.855Z', 'weight': 0.0}",564269322
"{'event_time': '2023-10-17T09:57:14.833Z', 'weight': 0.0}",1323573090
"{'event_time': '2023-10-17T09:57:15.841Z', 'weight': 0.0}",1080514004
"{'event_time': '2023-10-17T09:57:16.849Z', 'weight': 0.0}",1059287404
"{'event_time': '2023-10-17T09:57:17.856Z', 'weight': 0.0}",2192062000
"{'event_time': '2023-10-17T09:57:18.841Z', 'weight': 0.0}",3690028469
"{'event_time': '2023-10-17T09:57:19.849Z', 'weight': 0.0}",1227074276
"{'event_time': '2023-10-17T09:57:20.857Z', 'weight': 0.0}",2079164398
"{'event_time': '2023-10-17T09:57:21.833Z', 'weight': 0.0}",2379611405
"{'event_time': '2023-10-17T09:57:22.842Z', 'weight': 0.0}",3449217787
"{'event_time': '2023-10-17T09:57:23.850Z', 'weight': 0.0}",1194735000
"{'event_time': '2023-10-17T09:57:24.859Z', 'weight': 0.0}",4023136491
"{'event_time': '2023-10-17T09:57:25.836Z', 'weight': 0.0}",3003371812
"{'event_time': '2023-10-17T09:57:26.844Z', 'weight': 0.0}",1343637627
"{'event_time': '2023-10-17T09:57:27.851Z', 'weight': 0.0}",2424837203
"{'event_time': '2023-10-17T09:57:28.859Z', 'weight': 0.0}",4012495454
"{'event_time': '2023-10-17T09:57:29.844Z', 'weight': 0.0}",639013875
"{'event_time': '2023-10-17T09:57:30.851Z', 'weight': 0.0}",1729423834
"{'event_time': '2023-10-17T09:57:31.821Z', 'weight': 0.0}",488875421
"{'event_time': '2023-10-17T09:57:32.837Z', 'weight': 0.0}",2474487029
"{'event_time': '2023-10-17T09:57:33.845Z', 'weight': 0.0}",2650728003
"{'event_time': '2023-10-17T09:57:34.853Z', 'weight': 0.0}",335302328
"{'event_time': '2023-10-17T09:57:35.861Z', 'weight': 0.0}",1402138455
"{'event_time': '2023-10-17T09:57:36.869Z', 'weight': 0.0}",752274415
"{'event_time': '2023-10-17T09:57:37.851Z', 'weight': 0.0}",296579444
"{'event_time': '2023-10-17T09:57:38.859Z', 'weight': 0.0}",1846327161
"{'event_time': '2023-10-17T09:57:39.867Z', 'weight': 0.0}",3467314929
"{'event_time': '2023-10-17T09:57:40.847Z', 'weight': 0.0}",2931289848
"{'event_time': '2023-10-17T09:57:41.854Z', 'weight': 0.0}",4092967363
"{'event_time': '2023-10-17T09:57:42.863Z', 'weight': 0.0}",1619478143
"{'event_time': '2023-10-17T09:57:43.839Z', 'weight': 0.0}",2909497280
"{'event_time': '2023-10-17T09:57:44.847Z', 'weight': 0.0}",2934656875
"{'event_time': '2023-10-17T09:57:45.855Z', 'weight': 0.0}",608933896
"{'event_time': '2023-10-17T09:57:46.863Z', 'weight': 0.0}",1625024492
"{'event_time': '2023-10-17T09:57:47.844Z', 'weight': 0.0}",2069426431
"{'event_time': '2023-10-17T09:57:48.855Z', 'weight': 0.0}",3218968681
"{'event_time': '2023-10-17T09:57:49.844Z', 'weight': 0.0}",2519450019
"{'event_time': '2023-10-17T09:57:50.854Z', 'weight': 0.0}",3919787568
"{'event_time': '2023-10-17T09:57:51.848Z', 'weight': 0.0}",4152293317
"{'event_time': '2023-10-17T09:57:52.857Z', 'weight': 0.0}",2808308592
"{'event_time': '2023-10-17T09:57:53.840Z', 'weight': 0.0}",323565993
"{'event_time': '2023-10-17T09:57:54.847Z', 'weight': 0.0}",802040396
"{'event_time': '2023-10-17T09:57:55.855Z', 'weight': 0.0}",2775514415
"{'event_time': '2023-10-17T09:57:56.863Z', 'weight': 0.0}",3791553227
"{'event_time': '2023-10-17T09:57:57.841Z', 'weight': 0.0}",3304527970
"{'event_time': '2023-10-17T09:57:58.849Z', 'weight': 0.0}",3143032431
"{'event_time': '2023-10-17T09:57:59.857Z', 'weight': 0.0}",3510573419
"{'event_time': '2023-10-17T09:58:00.865Z', 'weight': 0.0}",4095825472
"{'event_time': '2023-10-17T09:58:01.845Z', 'weight': 0.0}",2778515992
"{'event_time': '2023-10-17T09:58:02.854Z', 'weight': 0.0}",1643923515
"{'event_time': '2023-10-17T09:58:03.863Z', 'weight': 0.0}",521692270
"{'event_time': '2023-10-17T09:58:04.843Z', 'weight': 0.0}",2741996108
"{'event_time': '2023-10-17T09:58:05.851Z', 'weight': 0.0}",701455663
"{'event_time': '2023-10-17T09:58:06.860Z', 'weight': 0.0}",660711808
"{'event_time': '2023-10-17T09:58:07.844Z', 'weight': 0.0}",2679388218
"{'event_time': '2023-10-17T09:58:08.851Z', 'weight': 0.0}",2992198990
"{'event_time': '2023-10-17T09:58:09.859Z', 'weight': 0.0}",546021919
"{'event_time': '2023-10-17T09:58:10.867Z', 'weight': 0.0}",28325270
"{'event_time': '2023-10-17T09:58:11.846Z', 'weight': 0.0}",2280597910
"{'event_time': '2023-10-17T09:58:12.856Z', 'weight': 0.0}",2490182637
"{'event_time': '2023-10-17T09:58:13.867Z', 'weight': 0.0}",2002062507
"{'event_time': '2023-10-17T09:58:14.853Z', 'weight': 0.0}",1194185773
"{'event_time': '2023-10-17T09:58:15.861Z', 'weight': 0.0}",121861570
"{'event_time': '2023-10-17T09:58:16.869Z', 'weight': 0.0}",2013745530
"{'event_time': '2023-10-17T09:58:17.845Z', 'weight': 0.0}",3379813701
"{'event_time': '2023-10-17T09:58:18.853Z', 'weight': 0.0}",1204303512
"{'event_time': '2023-10-17T09:58:19.861Z', 'weight': 0.0}",128358263
"{'event_time': '2023-10-17T09:58:20.847Z', 'weight': 0.0}",2472602162
"{'event_time': '2023-10-17T09:58:21.855Z', 'weight': 0.0}",432029009
"{'event_time': '2023-10-17T09:58:22.863Z', 'weight': 0.0}",1565541045
"{'event_time': '2023-10-17T09:58:23.871Z', 'weight': 0.0}",3622868438
"{'event_time': '2023-10-17T09:58:24.879Z', 'weight': 0.0}",2833780989
"{'event_time': '2023-10-17T09:58:25.860Z', 'weight': 0.0}",2294242482
"{'event_time': '2023-10-17T09:58:26.867Z', 'weight': 0.0}",3026513604
"{'event_time': '2023-10-17T09:58:27.875Z', 'weight': 0.0}",1053047207
"{'event_time': '2023-10-17T09:58:28.854Z', 'weight': 0.0}",1441273083
"{'event_time': '2023-10-17T09:58:29.862Z', 'weight': 0.0}",4243503350
"{'event_time': '2023-10-17T09:58:30.869Z', 'weight': 0.0}",1291251471
"{'event_time': '2023-10-17T09:58:31.857Z', 'weight': 0.0}",3964755591
"{'event_time': '2023-10-17T09:58:32.865Z', 'weight': 0.0}",1101606017
"{'event_time': '2023-10-17T09:58:33.873Z', 'weight': 0.0}",576845312
"{'event_time': '2023-10-17T09:58:34.881Z', 'weight': 0.0}",1559435390
"{'event_time': '2023-10-17T09:58:35.841Z', 'weight': 0.0}",347524929
"{'event_time': '2023-10-17T09:58:36.854Z', 'weight': 0.0}",968769664
"{'event_time': '2023-10-17T09:58:37.864Z', 'weight': 0.0}",224716702
"{'event_time': '2023-10-17T09:58:38.862Z', 'weight': 0.0}",3870832389
